129,189,250,332
m,27,29,72,81
n,119,119,168,170
O,210,211,264,263
p,297,310,380,353
b,400,421,484,475
f,507,520,583,565
v,604,614,674,667
t,708,710,754,756
d,818,821,877,857
l,949,955,999,1007
r,1073,1070,1140,1135
s,1191,1185,1252,1229
z,1462,1464,1516,1514
T,1560,1560,1640,1595
S,1665,1671,1717,1706
Z,1764,1763,1815,1815
c,1857,1865,1922,1899
C,1969,1970,2020,2006
tch,2052,2056,2135,2097
R,2157,2163,2236,2216
k,2274,2273,2337,2317
g,2478,2480,2538,2531
K,2590,2590,2668,2633
h,2691,2691,2763,2741
',2801,2800,2832,2839
y,2877,2870,2950,2906
w,2980,2983,3067,3019
i,3092,3095,3186,3116
u,3216,3226,3289,3292
o,3352,3359,3430,3413
e,3488,3474,3553,3531
a,3602,3589,3657,3647
 ,4,4,22,22
